filename,label,text
CELEBRATING_BLACK_HISTORY__Jet_USA___February_28_1994__p9.txt,DATE,"February 28, 1994"
CELEBRATING_BLACK_HISTORY__Jet_USA___February_28_1994__p9.txt,DATE,"February 28, 1994"
CELEBRATING_BLACK_HISTORY__Jet_USA___February_28_1994__p9.txt,DATE,0021-5996
CELEBRATING_BLACK_HISTORY__Jet_USA___February_28_1994__p9.txt,GPE,Glendale
CELEBRATING_BLACK_HISTORY__Jet_USA___February_28_1994__p9.txt,DATE,1955
CELEBRATING_BLACK_HISTORY__Jet_USA___February_28_1994__p9.txt,DATE,1994
Dr._Ernest_E._Just_Honored_On_New_Black_Heritage__Jet_USA___February_26_1996__p19.txt,DATE,"February 26, 1996"
Dr._Ernest_E._Just_Honored_On_New_Black_Heritage__Jet_USA___February_26_1996__p19.txt,DATE,"February 26, 1996"
Dr._Ernest_E._Just_Honored_On_New_Black_Heritage__Jet_USA___February_26_1996__p19.txt,DATE,0021-5996
Dr._Ernest_E._Just_Honored_On_New_Black_Heritage__Jet_USA___February_26_1996__p19.txt,DATE,some 55 years
Dr._Ernest_E._Just_Honored_On_New_Black_Heritage__Jet_USA___February_26_1996__p19.txt,DATE,the first day of this month
Dr._Ernest_E._Just_Honored_On_New_Black_Heritage__Jet_USA___February_26_1996__p19.txt,LOC,Black History Month
Dr._Ernest_E._Just_Honored_On_New_Black_Heritage__Jet_USA___February_26_1996__p19.txt,DATE,1978
Dr._Ernest_E._Just_Honored_On_New_Black_Heritage__Jet_USA___February_26_1996__p19.txt,GPE,W.E.B. DuBois
Dr._Ernest_E._Just_Honored_On_New_Black_Heritage__Jet_USA___February_26_1996__p19.txt,DATE,1915
Dr._Ernest_E._Just_Honored_On_New_Black_Heritage__Jet_USA___February_26_1996__p19.txt,GPE,Washington
Dr._Ernest_E._Just_Honored_On_New_Black_Heritage__Jet_USA___February_26_1996__p19.txt,GPE,D.C.
Dr._Ernest_E._Just_Honored_On_New_Black_Heritage__Jet_USA___February_26_1996__p19.txt,DATE,34 years
Dr._Ernest_E._Just_Honored_On_New_Black_Heritage__Jet_USA___February_26_1996__p19.txt,DATE,1996
HISTORY_MAKERS__Jet_USA___February_23_1998__p20.txt,DATE,February 23
HISTORY_MAKERS__Jet_USA___February_23_1998__p20.txt,DATE,1998
HISTORY_MAKERS__Jet_USA___February_23_1998__p20.txt,DATE,"February 23, 1998"
HISTORY_MAKERS__Jet_USA___February_23_1998__p20.txt,LOC,South
HISTORY_MAKERS__Jet_USA___February_23_1998__p20.txt,DATE,each decade of the 20th century
HISTORY_MAKERS__Jet_USA___February_23_1998__p20.txt,DATE,the first two decades in the century
HISTORY_MAKERS__Jet_USA___February_23_1998__p20.txt,DATE,1998
REMINDER_OF_RACISM__Jet_USA___February_24_1997__p22.txt,DATE,"February 24, 1997"
REMINDER_OF_RACISM__Jet_USA___February_24_1997__p22.txt,DATE,"February 24, 1997"
REMINDER_OF_RACISM__Jet_USA___February_24_1997__p22.txt,DATE,0021-5996
REMINDER_OF_RACISM__Jet_USA___February_24_1997__p22.txt,GPE,Hayneville
REMINDER_OF_RACISM__Jet_USA___February_24_1997__p22.txt,GPE,AL
REMINDER_OF_RACISM__Jet_USA___February_24_1997__p22.txt,DATE,1991
REMINDER_OF_RACISM__Jet_USA___February_24_1997__p22.txt,DATE,1965
This_Week_In_Black_History_February_10_1989___Jet_USA___February_17_2003__p1.txt,DATE,This Week
This_Week_In_Black_History_February_10_1989___Jet_USA___February_17_2003__p1.txt,DATE,"February 10, 1989-- - Jet (USA"
This_Week_In_Black_History_February_10_1989___Jet_USA___February_17_2003__p1.txt,DATE,February 17
This_Week_In_Black_History_February_10_1989___Jet_USA___February_17_2003__p1.txt,DATE,2003
This_Week_In_Black_History_February_10_1989___Jet_USA___February_17_2003__p1.txt,DATE,"February 17, 2003"
This_Week_In_Black_History_February_10_1989___Jet_USA___February_17_2003__p1.txt,DATE,this day
This_Week_In_Black_History_February_10_1989___Jet_USA___February_17_2003__p1.txt,GPE,U.S.
This_Week_In_Black_History_February_10_1989___Jet_USA___February_17_2003__p1.txt,GPE,Vermont
This_Week_In_Black_History_February_10_1989___Jet_USA___February_17_2003__p1.txt,GPE,St. John's
This_Week_In_Black_History_February_10_1989___Jet_USA___February_17_2003__p1.txt,GPE,New York
This_Week_In_Black_History_February_10_1989___Jet_USA___February_17_2003__p1.txt,DATE,"the
1980s"
This_Week_In_Black_History_February_10_1989___Jet_USA___February_17_2003__p1.txt,GPE,U.S.
This_Week_In_Black_History_February_10_1989___Jet_USA___February_17_2003__p1.txt,DATE,"April 3, 1996"
This_Week_In_Black_History_February_10_1989___Jet_USA___February_17_2003__p1.txt,GPE,Bosnia
This_Week_In_Black_History_February_10_1989___Jet_USA___February_17_2003__p1.txt,DATE,"February 11, 1990--

"
This_Week_In_Black_History_February_10_1989___Jet_USA___February_17_2003__p1.txt,DATE,this day
This_Week_In_Black_History_February_10_1989___Jet_USA___February_17_2003__p1.txt,DATE,more than 27 years
This_Week_In_Black_History_February_10_1989___Jet_USA___February_17_2003__p1.txt,GPE,South Africa's
This_Week_In_Black_History_February_10_1989___Jet_USA___February_17_2003__p1.txt,GPE,"Cape
Town"
This_Week_In_Black_History_February_10_1989___Jet_USA___February_17_2003__p1.txt,GPE,South Africa
This_Week_In_Black_History_February_10_1989___Jet_USA___February_17_2003__p1.txt,DATE,June 1990
This_Week_In_Black_History_February_10_1989___Jet_USA___February_17_2003__p1.txt,DATE,Four years later
This_Week_In_Black_History_February_10_1989___Jet_USA___February_17_2003__p1.txt,DATE,2003
