filename,label,text
CELEBRATING_BLACK_HISTORY__Jet_USA___February_28_1994__p9.txt,PERSON,Rosa Parks
CELEBRATING_BLACK_HISTORY__Jet_USA___February_28_1994__p9.txt,PERSON,Carritos Elementary School
CELEBRATING_BLACK_HISTORY__Jet_USA___February_28_1994__p9.txt,PERSON,Marcia Fernandez
CELEBRATING_BLACK_HISTORY__Jet_USA___February_28_1994__p9.txt,PERSON,"Wyann
Vaughn"
CELEBRATING_BLACK_HISTORY__Jet_USA___February_28_1994__p9.txt,PERSON,Parks
CELEBRATING_BLACK_HISTORY__Jet_USA___February_28_1994__p9.txt,PERSON,Parks
Dr._Ernest_E._Just_Honored_On_New_Black_Heritage__Jet_USA___February_26_1996__p19.txt,PERSON,Ernest E.
Dr._Ernest_E._Just_Honored_On_New_Black_Heritage__Jet_USA___February_26_1996__p19.txt,PERSON,Ernest Everett
Dr._Ernest_E._Just_Honored_On_New_Black_Heritage__Jet_USA___February_26_1996__p19.txt,PERSON,Spingam Medal
Dr._Ernest_E._Just_Honored_On_New_Black_Heritage__Jet_USA___February_26_1996__p19.txt,PERSON,Harriet Tubman
Dr._Ernest_E._Just_Honored_On_New_Black_Heritage__Jet_USA___February_26_1996__p19.txt,PERSON,"Martin
Luther King"
Dr._Ernest_E._Just_Honored_On_New_Black_Heritage__Jet_USA___February_26_1996__p19.txt,PERSON,Mary McLeod Bethune
Dr._Ernest_E._Just_Honored_On_New_Black_Heritage__Jet_USA___February_26_1996__p19.txt,PERSON,Percy Julian
Dr._Ernest_E._Just_Honored_On_New_Black_Heritage__Jet_USA___February_26_1996__p19.txt,PERSON,Bessie Coleman
HISTORY_MAKERS__Jet_USA___February_23_1998__p20.txt,PERSON,Jet
HISTORY_MAKERS__Jet_USA___February_23_1998__p20.txt,PERSON,Du Bois
HISTORY_MAKERS__Jet_USA___February_23_1998__p20.txt,PERSON,George Washington Carver
REMINDER_OF_RACISM__Jet_USA___February_24_1997__p22.txt,PERSON,Viola Liuzzo
REMINDER_OF_RACISM__Jet_USA___February_24_1997__p22.txt,PERSON,Liuzzo
REMINDER_OF_RACISM__Jet_USA___February_24_1997__p22.txt,PERSON,Evelyn Lowery
REMINDER_OF_RACISM__Jet_USA___February_24_1997__p22.txt,PERSON,Johnny Carr
REMINDER_OF_RACISM__Jet_USA___February_24_1997__p22.txt,PERSON,Marie Foster
This_Week_In_Black_History_February_10_1989___Jet_USA___February_17_2003__p1.txt,PERSON,Ronald H. Brown
This_Week_In_Black_History_February_10_1989___Jet_USA___February_17_2003__p1.txt,PERSON,Clinton
This_Week_In_Black_History_February_10_1989___Jet_USA___February_17_2003__p1.txt,PERSON,Clinton
This_Week_In_Black_History_February_10_1989___Jet_USA___February_17_2003__p1.txt,PERSON,Brown
This_Week_In_Black_History_February_10_1989___Jet_USA___February_17_2003__p1.txt,PERSON,Brown
This_Week_In_Black_History_February_10_1989___Jet_USA___February_17_2003__p1.txt,PERSON,Nelson Rolihlahla Mandela
